the_geom,cartodb_id,chgis_id,altname_wylie,name_ch,name_py,town_ch,town_py,town_syl,gbcnty,cnty_ch,cnty_py,gbdist,dist_py,prov_py,orig_file,lat,long,gbtown_from_lex,gis_id_from_lex,name_wylie_from_lex,gbtown_from_tbrc,gis_id_from_tbrc,wylie_name_from_karl,normalized_wylie_name_tbrc,county,tbrc_county_g_,tbrc_county_notes,tbrc_site_g_,tbrc_site_notes,alternative_wylie_name,tbrc_phonetic,phonetic,primary_chinese_cha,alternative_chinese_cha,pinyin_name,founding,sect,gonpa_per_1000_sq_km,gonpa_per_ecumen,conv_date_1,conv_sect_1,conv_date_2,conv_sect_2,notes,problems,field_45,field_46,field_47,field_48,field_49,field_50,field_51,field_52,field_53,field_54
0101000020E6100000959A3DD00A0C5A4089B5F81400E34040,1060,1966,,,Garu Si,峰迭乡,Fengdie xiang,Feng Die Xiang,623023,舟曲县,Zhouqu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.77344,104.18816,623023205,623023123,dga' ru dgon thub bstan dar rgyas gling,623023205,623023123,dga' ru dgon thub bstan dar rgyas gling,,brug chu,G2206,brug chu rdzong,G4843,,,,,噶如寺,,Garu Si,1750,Gelug,8.24198467,8.242,,,,,,,,,,,,,,,,
0101000020E6100000919BE1067C225A40AE9E93DE37CA4040,1067,1975,,,Sanglie Si,八楞乡,Baleng xiang,Ba Leng Xiang,623023,舟曲县,Zhouqu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.57983,104.53882,623023215,623023124,zang le dgon bkra shis bde chen gling,623023215,623023124,zang le dgon bkra shis bde chen gling,,brug chu,G2206,brug chu rdzong,G4844,,,,,桑列寺,,Sanglie Si,1760,Gelug,45.34633262,45.346,,,,,,,,,,,,,,,,
0101000020E610000082AD122C0E175A40CA54C1A8A4CE4040,1072,1982,,,Wuping Si,插岗乡,Chagang xiang,Cha Gang Xiang,623023,舟曲县,Zhouqu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.6144,104.36024,623023217,623023125,u pe dgon bkra shis dar rgyas gling,623023217,623023125,u pe dgon bkra shis dar rgyas gling,,brug chu,G2206,brug chu rdzong,G4845,,,,,武坪寺,奥白寺扎喜达吉林,Wuping Si,1767,Gelug,12.06466661,12.065,,,,,,,,,,,,,,,,
0101000020E6100000AB2688BA0F105A403F00A94D9CE04040,1061,1967,,,Bangdang Si,坪定乡,Pingding xiang,Ping Ding Xiang,623023,舟曲县,Zhouqu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.75477,104.25096,623023206,623023126,spang gdong dgon dam chos dar rgyas gling,623023206,623023126,spang gdong dgon dam chos dar rgyas gling,,brug chu,G2206,brug chu rdzong,G4846,,,,,帮当寺,,Bangdang Si,1850,Gelug,6.855889209,6.856,,,,,,,,,,,,,,,,
0101000020E61000005FB532E197845940255D33F966FF4040,1097,2022,,,Waixiang Si,尼玛乡,Nima xiang,Ni Ma Xiang,623025,玛曲县,Maqu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.99533,102.07177,623025200,623025107,mdzod dge nyin ma'i be shing dgon dga' ldan rab rgyas gling,623025200,623025107,mdzod dge nyin ma'i be shing dgon dga' ldan rab rgyas gling,,rma chu,G2202,rma chu rdzong,G4847,,,,,外相寺,佐盖尼玛外相贡噶丹绕吉朗,Waixiang Si,1780,Gelug,1.694987076,1.695,,,,,,,,,,,,,,,,
0101000020E6100000D482177D055359405CC98E8D40DC4040,2366,2028,,,Muxihe Si,木西合乡,Muxihe xiang,Mu Xi He Xiang,623025,玛曲县,Maqu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.72072,101.29721,623025204,623025110,rmur bye'i bsam gtan chos gling,623025204,623025110,rmur bye'i bsam gtan chos gling,,rma chu,G2202,rma chu rdzong,G4848,,rmur bye bsam gtan chos gling,,,木西合寺,,Muxihe Si,1650,Nyingma,0.853497205,0.853,,,,,,,,,,,,,,,,
0101000020E610000024456458C56D5940F31ABB44F5D24040,2072,2026,,,Samaluota Linzheng Xiuyuan,阿万仓乡,Awancang xiang,A Wan Cang Xiang,623025,玛曲县,Maqu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,33.64811,101.71517,623025203,623025112,gsar ma'i ri khrod dge 'phel gling,623025203,623025112,gsar ma'i ri khrod dge 'phel gling,,rma chu,G2202,rma chu rdzong,G4849,,,,,,,Samaluota Linzheng Xiuyuan,1900,none,1.297016861,1.297,,,,,,,,,,,,,,,,
0101000020E61000005A2F8672A2B15940D2A92B9FE5494140,2813,2038,,,Dangji Si,双岔乡,Shuangcha xiang,Shuang Cha Xiang,623026,碌曲县,Luqu Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.57732,102.77554,623026205,623026108,gdong gzigs dgon phun tshogs rab rgyas gling,623026205,623026108,gdong gzigs dgon phun tshogs rab rgyas gling,,klu chu,G2201,klu chu rdzong,G4850,,,,Dongzik,当吉寺,,Dangji Si,1250,Sakya,9.204148003,9.204,,,,,,,,,,,,,,,,
0101000020E6100000280F0BB5A6CF59402B9FE579704B4140,1039,1933,,,Jianghe Si,术布乡,Shubu xiang,Shu Bu Xiang,623021,临潭县,Lintan Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.58937,103.24455,623021200,623021104,chas pa rgya mkhar dgon bshad sgrub dar rgyas gling,623021200,623021104,chas pa rgya mkhar dgon bshad sgrub dar rgyas gling,,Lintan,G2204,bA tse rdzong,G4851,,,,,江河寺,,Jianghe Si,1424,Gelug,19.98001998,19.98,,,,,,,,,,,,,,,,
0101000020E610000067614F3BFCD55940E8D9ACFA5C494140,2810,1943,,,Xinzhan Si,卡车乡,Kache xiang,Ka Che Xiang,623022,卓尼县,Zhuoni Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.57315,103.34352,623022203,623022118,drin dran dgon bshad sgrub dge 'phel gling,623022203,623022118,drin dran dgon bshad sgrub dge 'phel gling,,co ne,G2203,co ne rdzong,G4852,,,,Drindran,感恩寺,夏珠格培林,Xinzhan Si,1246,Sakya,6.779890844,6.78,,,,,,,,,,,,,,,,
0101000020E61000004BC8073D9BC35940CCB4FD2B2B4D4140,1742,1950,,,Detang Si,刀告乡,Daogao xiang,Dao Gao Xiang,623022,卓尼县,Zhuoni Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.60288,103.05635,623022205,623022117,bde thang dgon dga' ldan chos 'khor gling,623022205,623022117,bde thang dgon dga' ldan chos 'khor gling,,co ne,G2203,co ne rdzong,G4853,,,,,德唐寺,,Detang Si,1450,Kagyu,4.91448791,4.914,,,,,,,,,,,,,,,,
0101000020E6100000B24B546F0DE65940FAAE08FEB73E4140,1043,1941,,,Chibu Si,木耳乡,Muer xiang,Mu Er Xiang,623022,卓尼县,Zhuoni Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.48999,103.59457,623022201,623022120,nags mdo dgon blo bzang bde chen gling,623022201,623022120,nags mdo dgon blo bzang bde chen gling,,co ne,G2203,co ne rdzong,G4854,,,,Nakdo,七步寺,,Chibu Si,1366,Gelug,19.92958214,19.93,,,,,,,,,,,,,,,,
0101000020E610000098A3C7EF6DE25940D15790662C864140,1053,1958,,,Kangduo Si,康多乡,Kangduo xiang,Kang Duo Xiang,623022,卓尼县,Zhuoni Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,35.04823,103.53796,623022211,623022122,khang thog dgon yon chab dar rgyas gling,623022211,623022122,khang thog dgon yon chab dar rgyas gling,,co ne,G2203,co ne rdzong,G4855,,,,,康多寺,,Kangduo Si,1678,Gelug,5.758212651,5.758,,,,,,,,,,,,,,,,
0101000020E61000002979758E01DF594092E86514CB854140,1052,1957,,,Kangduo Duoma Si,康多乡,Kangduo xiang,Kang Duo Xiang,623022,卓尼县,Zhuoni Xian,6230,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,35.04526,103.48447,623022211,623022123,khang thod stod ma'i dgon phun tshogs dga' ldan gling,623022211,623022123,khang thod stod ma'i dgon phun tshogs dga' ldan gling,,co ne,G2203,co ne rdzong,G4856,,khang thog stod ma dgon phun tshogs dga' ldan gling,,,康多上寺,,Kangduo Duoma Si,1682,Gelug,5.758212651,5.758,,,,,,,,,,,,,,,,
