id,name,lat,long,located in
G2036,gter sgrom dgon/; 德仲寺,30.14586,92.16921,mal gro gung dkar rdzong /; Medro Gongkar County; 墨竹工卡县; ri mdo sgang shang(mal gro gung dkar rdzong)
G1873,lha khang thang sngags khang /,,,khri ka rdzong /; 贵德县
G1BR038,Khoymorsky datsan,51.908611,102.428889,Buryatia
G3636,smyo shul ljon pa lung dgon/; 辽西寺,31.28333,99.6,dpal yul rdzong /; Palyul county; 白玉县
G1KR1252,亚寺,30.58333,97.08334,八宿县; Pashod County; dpa' shod rdzong /
G1BR028,Olkhonsky datsan,53.15,107.4,Buryatia
G2898,rdzong 'og ri khrod/,,,波密县; spo bo rdzong /; Pome County; shul mo chus (spo bo rdzong)
G4063,wa lo dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县
G4255,康山寺; bzhag shod khang gsar dgon/,32.15101,101.70586,马尔康县; Barkham County; 'bar khams rdzong /
G1KR2036,zam tsha'i bang tshang dgon/; 双岔旺藏寺,34.50665,102.79661,碌曲县; klu chu rdzong /
G1653,drwa ma dgon/; 扎马寺,31.83333,98.6,sde dge rdzong /; 德格县; Derge County
G4074,邛山寺; khyung lung dgon/,31.1,101.86667,rong brag rdzong /; Rongdrak county; 丹巴县
G1KR225,te bo brag nyi shar dgon/; 尼显寺,34.06543,103.08456,mdzod dge rdzong /; 若尔盖县
G4859,sa dmar dgon/; 沙冒寺,,,卓尼县; co ne rdzong /
G1PD96063,hri dgu zi/; 石沟寺,36.42997,102.47194,乐都县; gro tshang rdzong /
G1870,khri ka ske dgon/,,,khri ka rdzong /; 贵德县
G1KR1251,益青寺,30.58333,97.08334,八宿县; Pashod County; dpa' shod rdzong /
G1647,俄支寺; 'gu zi dgon/,32.33333,98.36667,sde dge rdzong /; 德格县; Derge County
G1KR1944,chas pa dar dge dgon/; 却巴达格寺,34.62221,103.3409,卓尼县; co ne rdzong /
G1DOMM0008,Baruun salaanii khural,47.97,106.8,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G2899,nyi ldan dgon/,,,波密县; spo bo rdzong /; Pome County; shul mo chus (spo bo rdzong)
G1606,珠登寺; nyag TAik+ka drug bstod dgon/,31.31667,100.23333,nyag rong rdzong /; 新龙县; Nyakrong county
G2500,pho rog dgon/,,,se ra smad grwa tshang /; Serame Dratsang
G4062,grub thob bla brang dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县
G1KR49,zhi lo dgon/; 日落寺,31.05888,102.22366,btsan lha rdzong /; 小金县
G3963,dran thang ri khrod/,,,石渠县; rdza chu kha rdzong /
G1DOMM0051,Bogdiin khiid,47.8,107,Ulaanbaatar; 乌兰巴托; u lan dpa' thul/; Улаанбаатар
G1KR2003,myi chen gla yul bon dgon/; 拉依寺,34.09572,103.49487,迭部县; the bo rdzong /
G1588,zhi ba dgon/; 俄沃寺,31.1,100.3,nyag rong rdzong /; 新龙县; Nyakrong county
G2CN11060,khyen ma steng /,,,lhun rtse rdzong /; Lhuntse county; 隆子县; byar yul/
G2505,rnam grol gling /,,,dwags po/; se ra smad grwa tshang /; Serame Dratsang
G2693,'dam bla tshang /; 当拉仓寺,33.06505,94.22137,杂多县; rdza stod rdzong /
G2941,la dbrag dgon/,,,波密县; spo bo rdzong /; Pome County; khang yul chus (spo bo rdzong)
G4069,hra kho dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县
G1KR783,大佛寺,27.85,99.73333,香格里拉县; Gyeltang County; sems kyi nyi zla rdzong /
G1KR29,斯苟根寺; bzod sgom dgon/,31.7898,101.64084,chu chen rdzong /; 金川县
G1KR2612,查那寺; bya mdo tsha rnga dgon/,35.94504,100.8869,贵南县; mang ra rdzong /
G1PD96273,白家寺; bis kya'i dgon/,35.96,102.65,化隆回族自治县; ba yan rdzong /
G4902,sna 'dus dgon pa/,,,
G1KR813,bstan 'phel gling /; 达摩寺,27.61667,99.41666,Balung County; 'ba' lung rdzong /; 维西县
G1AG65,wig chos rdzong /,,,
G4822,加茂贡寺; rgyal mo'i dgon/,34.75475,103.08191,bsang chu rdzong /; 夏河县
G1743,gsang ru dgon/,,,rdzong gsang ru ma zhang /
G1KR2423,多哇完加寺; mdo ba bon rgya dgon pa/,35.4,101.95,同仁县; Rebkong County; reb gong rdzong /
G2548,科才寺; kho tshe dgon pa/,37.52638,99.98744,rkang tsha rdzong /; 刚察县
G2GS1268,gnas chos sde/,,,lha rtse rdzong /; 拉孜县; Lhatse county
G4598,jo gdan dgon/; 觉丹寺,30.16909,91.37098,lhun grub rdzong /; 林周县; Lhundrub county
G2639,邦赛寺; brag ser dgon/,,,nang chen rdzong /; 囊谦县; Nangchen County
G2506,Rongpo Gon; rong po dgon/,,,se ra smad grwa tshang /; Serame Dratsang
G1KR2827,扎西寺; bkra shis dgon/,32.50049,96.06231,nang chen rdzong /; 囊谦县; Nangchen County
G3704,pad+ma rnam grol gling /,,,reb gong /
G2942,rta chu dgon/,,,波密县; spo bo rdzong /; Pome County; khang yul chus (spo bo rdzong)
G1KR1379,颇章寺,31.16667,94.63333,Palbar County; dpal 'bar rdzong /; 边坝县
G1KR982,德约寺,31.13333,97.16666,昌都县; chab mdo rdzong /; Chamdo county
G4573,chos sdings dgon/; 曲顶寺,29.90734,91.36911,lhun grub rdzong /; 林周县; Lhundrub county
G1AG64,glang ling dgon/,,,
G1PD96080,龙沟寺; 'brug lung dgon/,36.62867,102.34442,乐都县; gro tshang rdzong /
G1KR814,柯公寺,27.61667,99.41666,Balung County; 'ba' lung rdzong /; 维西县
G185,'dzi sgar chos sgar/; Dzigar Chogar,,,Joda County; 'jo mda' rdzong /; 江达县; mdzo mda' rdzong /
G1744,stag thog dgon/,,,达日县; dar lag rdzong /; stag thog zhang /
G2601,巴米寺; dpal me dgon/,32.19614,96.42992,nang chen rdzong /; 囊谦县; Nangchen County
