id,name,lat_new,long_new,located in,the_geom_new_old_tol,cartodb_id_new_old_tol,chgis_id,altname_wylie,name_ch,name_py,town_ch,town_py,town_syl,gbcnty,cnty_ch,cnty_py,gbdist,dist_py,prov_py,orig_file,lat_old,long_old,gbtown_from_lex,gis_id_from_lex,name_wylie_from_lex,gbtown_from_tbrc,gis_id_from_tbrc,wylie_name_from_karl,normalized_wylie_name_tbrc,county,tbrc_county_g_,tbrc_county_notes,tbrc_site_g_,tbrc_site_notes,alternative_wylie_name,tbrc_phonetic,phonetic,primary_chinese_cha,alternative_chinese_cha,pinyin_name,founding,sect,gonpa_per_1000_sq_km,gonpa_per_ecumen,conv_date_1,conv_sect_1,conv_date_2,conv_sect_2,notes,problems,tol_id,tbrc_id,branch_of,primary_name,wylie_name,tibetan_name,chinese_name,name_variants,traditions,place_types,founded_date,founded_date_approximate,founded_date_alternate,founded_century,existed_by_century,lat_new_old_tol,long_new_old_tol,description,wikidata_id,the_geom_cur,cartodb_id_cur,affiliation,founded,karl_id,name_zh_py,name_zh,name_bo,name_bo_wy,rid,long_cur,lat_cur
G1KR2288,zhang lis ho'u la zi/; 香力胡拉寺,36.13637,102.20786,化隆回族自治县; ba yan rdzong /,0101000020E6100000618907944D8D5940E813799274114240,1899.0,2288.0,,香力胡拉寺,xianglihula si,二塘乡,Ertang xiang,Er Tang Xiang,632127.0,化隆回族自治县,Hualong Hui Zizhixian,6321.0,Haidong Diqu,Qinghai,Qinghai_Lex_20120621,36.13637,102.20786,632127208.0,211.0,zhang lis ho'u la zi,632127208.0,229.0,zhang lis ho'u la zi,zhang lis ho'u la zi,na,G1PD96109,ba yan rdzong,G1KR2288,,,,,香力胡拉寺,,xianglihula si,1701,n,34.86345148,34.863,,,,,,,,,,,,,,,,,,,,,,,,,,0101000020E6100000618907944D8D5940E813799274114240,545.0,Nyingma,1701.0,632127208:229,,香力胡拉寺,ཞང་ལིས་ཧོའུ་ལ་ཟི,zhang lis ho'u la zi,G1KR2288,102.20786,36.13637
G2586,代巴寺; dad pa dgon/,32.67677,96.61373,yul shul rdzong /; 玉树县,0101000020E6100000BEA4315A47275840FB743C66A0564040,2064.0,2718.0,,代巴寺,daiba si,下拉秀乡,Xialaxiu xiang,Xia La Xiu Xiang,632721.0,玉树县,Yushu Xian,6327.0,Yushu Zizhizhou,Qinghai,Yu_gonpa_Lex_20120622,32.67677,96.61373,632721204.0,21.0,dad pa dgon pa,632721204.0,21.0,dad pa dgon pa,,na,G2326,yul shul rdzong,G2586,,,,,代巴寺,,daiba si,1570,Nendo,3.75716209,3.757,,,,,,,,,,,,,,,,,,,,,,,,,,0101000020E6100000BEA4315A47275840FB743C66A0564040,257.0,NedoKagyu,1570.0,632721204:21,daiba si,代巴寺,དད་པ་དགོན,dad pa dgon,G2586,96.61373,32.67677
G1KR619,格嘎寺; dge 'gab dgon/,33.23333,98.06667,ser shul rdzong /; Seshul county; 石渠县,0101000020E6100000F5673F52448458407D96E7C1DD9D4040,2561.0,618.0,,,ge gong si,格孟乡,Gemeng xiang,Ge Meng Xiang,513332.0,石渠县,Shiqu Xian,5133.0,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,33.23333,98.06667,513332208.0,370.0,dage goang dagon,513332208.0,370.0,dage goang dagon,,Seshul,G2301,ser shul rdzong,G1KR619,,dge gong dgon pa,,na,格贡寺,,ge gong si,1625,rnying ma/,4.848876677,4.849,,,,,,,,,,,,,,,,,,,,,,,,,,0101000020E6100000F5673F52448458407D96E7C1DD9D4040,867.0,Nyingma,,513332208:371,ge ga si,格嘎寺,དགེ་འགབ་དགོན,dge 'gab dgon,G1KR619,98.06667,33.23333
G1KR2610,mkhar sdon sgar kha/; 归化寺,35.8828,101.0082,贵南县; mang ra rdzong /,0101000020E6100000F1F44A598640594054742497FFF04140,944.0,2610.0,,归化寺,guihua si,过马营乡,Guomaying xiang,Guo Ma Ying Xiang,632525.0,贵南县,Guinan Xian,6325.0,Hainan Zizhizhou,Qinghai,Qinghai_Lex_20120621,35.8828,101.0082,632525204.0,499.0,mkhar sdon sgar kha,632525204.0,378.0,mkhar sdon sgar kha,mkhar sdon sgar kha,na,G1812,mang ra rdzong,G1KR2610,,,,,归化寺,桂花寺/垮安寺,guihua si,1945,g,3.967912812,3.968,,,,,,,,,,,,,,,,,,,,,,,,,,0101000020E6100000F1F44A598640594054742497FFF04140,2359.0,Geluk,1945.0,632525204:378,guihua si,归化寺,མཁར་སྡོན་སྒར་ཁ,mkhar sdon sgar kha,G1KR2610,101.0082,35.8828
G1KR1739,贡欧寺,31.65,94.3,Sok county; sog rdzong /; 索县,0101000020E610000032333333339357406566666666A63F40,1420.0,1739.0,,贡寺,Gong si,嘎美乡,Gamei xiang,Ga Mei Xiang,542427.0,索县,Suo Xian,5424.0,Nagqu Diqu,Xizang,Kham_Lex_20120621,31.65,94.3,542427209.0,451.0,,542427209.0,451.0,na,,Suo,G2149,sog rdzong,G1KR1739,,,,na,贡欧寺,贡寺/扎西巴丹贡寺,Gong si,na,Geluk,6.465656587,6.466,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,0101000020E610000032333333339357406566666666A63F40,1726.0,Geluk,,542427209:451,Gong si,贡欧寺,,,G1KR1739,94.3,31.65
G1KR2024,bye gshong ser sde/; 木西合新寺,34.26186,101.10738,rma chu rdzong /; 玛曲县,0101000020E6100000A60F5D50DF465940B610E4A084214140,1099.0,2024.0,,,Muxihe Xinsi,欧拉秀玛乡,Oulaxiuma xiang,Ou La Xiu Ma Xiang,623025.0,玛曲县,Maqu Xian,6230.0,Gannan Zizhizhou,Gansu,Gannan_Lex_20120621,34.26186,101.10738,623025202.0,623025103.0,bye gshong dge ldan bshad sgrub gling,623025202.0,623025103.0,bye gshong dge ldan bshad sgrub gling,bye gshong dge ldan bshad sgrub gling,rma chu,G2202,rma chu rdzong,G1KR2024,,,,,木西合新寺,雪相赛德寺,Muxihe Xinsi,1850,Gelug,1.163765013,1.164,,,,,,,,,,,,,,,,,,,,,,,,,,0101000020E6100000A60F5D50DF465940B610E4A084214140,1875.0,Geluk,1850.0,623025202:623025103,muxihe xinsi,木西合新寺,བྱེ་གཤོང་སེར་སྡེ,bye gshong ser sde,G1KR2024,101.10738,34.26186
G1723,dbang mda' dgon/; Wangda Gon Tubten Chokorling,,,mdo gong ma zhang /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.0,G1723,G17,Wangda,dbang mda',དབང་མདའ།,,"Wangda Gon Tubten Chokorling; Wangda Gon Shedrub Tashikhyil, thang dkar ma'i dgon pa; dbang mda' dgon bshad sgrub bkra shis g.yas 'khyil, ","Karma Kagyu, Nyingma",Monastery,,,,,,,,"<p>
	Wangda was founded as a branch of Katok Nyingma monastery in 1493 by <a href=""/biographies/view/Golok-Lama-Chobum/TBRC_P6478"">Golok Lama Chobum</a>. It was converted to Karma Kagyu by the <a href=""/biographies/view/Tenth-Karmapa/TBRC_P1382"">Tenth Karmapa</a> and later converted back to Nyingma.&nbsp;</p>
",,,,,,,,,,,,,
G1KR1083,乐曲寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E610000000000000009058405F9335EA21E23E40,2200.0,1083.0,,乐曲寺,Lequ si,莫洛乡,Moluo xiang,Mo Luo Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.88333,98.25,542123200.0,297.0,,542123200.0,297.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1083,,,,na,乐曲寺,,Lequ si,na,Nyingma,12.70648031,12.706,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,0101000020E610000000000000009058405F9335EA21E23E40,2293.0,Nyingma,,542123200:297,Lequ si,乐曲寺,,,G1KR1083,98.25,30.88333
G1KR141,bde chen dgon/; 斯跃武寺,31.75374,101.42146,'dzam thang rdzong /; 壤塘县,0101000020E61000009E245D33F95A5940E2AFC91AF5C03F40,1856.0,141.0,,斯跃武寺,Si wo wu si,蒲西乡,Puxi xiang,Pu Xi Xiang,513230.0,壤塘县,Rangtang Xian,5132.0,Aba Zizhizhou,Sichuan,Aba_Lex_20120619,31.75374,101.42146,513230200.0,120.0,Bde chen dgon (sro yo dgon),513230200.0,120.0,Bde chen dgon (sro yo dgon),bde chen dgon (sro yo dgon),Dzam thang rdzong,G2336,dzam thang rdzong,G1KR141,,,,,斯跃武寺,,Si wo wu si,1460,N,7.357178767,7.357,,,,,,,,,,,,,,,,,,,,,,,,,,0101000020E61000009E245D33F95A5940E2AFC91AF5C03F40,709.0,Nyingma,1460.0,513230200:120,siyuewu si,斯跃武寺,བདེ་ཆེན་དགོན,bde chen dgon,G1KR141,101.42146,31.75374
G2922,seng+ge gnam rdzong /,,,brag skas chus (spo bo rdzong); 波密县; spo bo rdzong /; Pome County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR328,黑金寺; a dur dgon/,29.83333,101.11667,nyag chu rdzong /; 雅江县; Nyakchu county,0101000020E6100000289B72857787584093C6681D55D53D40,1286.0,1276.0,,拉日寺,Lari si,加卡乡,Jiaka xiang,Jia Ka Xiang,542128.0,左贡县,Zuogong Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,29.83333,98.11667,542128207.0,122.0,,542128207.0,122.0,na,,Zuogong,G2180,mdzo sgang rdzong,G1KR328,,,,na,拉日寺,左贡县拉日寺,Lari si,na,Geluk,1.432685282,1.433,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,0101000020E6100000289B72857747594093C6681D55D53D40,830.0,Bon,1012.0,513325204:501,heijin si,黑金寺,ཨ་དུར་དགོན,a dur dgon,G1KR328,101.11667,29.83333
G1KR1879,白玛卫林寺,29.76667,95.31667,Metok county; me tog rdzong /; 墨脱县,0101000020E6100000D8648D7A8818594006D3307C44C43D40,414.0,691.0,,,e ri si,甲洼乡,Jiawa xiang,Jia Wa Xiang,513334.0,理塘县,Litang Xian,5133.0,Garze Zizhizhou,Sichuan,Kangon_Lex_20120621,29.76667,100.38333,513334217.0,277.0,gu ru dagon,513334217.0,277.0,gu ru dagon,gu ru dgon,Litang,G2304,li thang rdzong,G1KR1879,,,,na,俄日寺,,e ri si,1400,dge lugs/,7.497188554,7.497,,,,,,,,,,,,,,,,,,,,,,,,,,0101000020E6100000F5673F5244D4574006D3307C44C43D40,401.0,Nyingma,,542624205:548,Baimaweilin si,白玛卫林寺,,,G1KR1879,95.31667,29.76667
G1724,tsha skor dgon pa/,,,mtsho nag zhang /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1857,stong che rgya thang lha khang /,,,khri ka rdzong /; 贵德县; 同仁县; Rebkong County; reb gong rdzong /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4048,bkra shis chos gling dgon/,,,rong brag rdzong /; Rongdrak county; 丹巴县,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KR1738,琼扩寺,31.65,94.3,Sok county; sog rdzong /; 索县,0101000020E610000032333333339357406566666666A63F40,1419.0,1738.0,,琼科寺,Qiongke si,嘎美乡,Gamei xiang,Ga Mei Xiang,542427.0,索县,Suo Xian,5424.0,Nagqu Diqu,Xizang,Kham_Lex_20120621,31.65,94.3,542427209.0,450.0,,542427209.0,450.0,na,,Suo,G2149,sog rdzong,G1KR1738,,,,na,琼扩寺,,Qiongke si,na,Geluk,6.465656587,6.466,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,0101000020E610000032333333339357406566666666A63F40,1725.0,Geluk,,542427209:450,Qiongke si,琼扩寺,,,G1KR1738,94.3,31.65
G1KR1179,查仲德钦绕吉林寺; bde chen rab rgyas gling /,31.6,95.08334,steng chen rdzong /; Tengchen County; 丁青县,0101000020E6100000B79C4B7155C557409999999999993F40,175.0,1178.0,,达吉寺,Daji si,尺牍乡,Chidu xiang,Chi Du Xiang,542125.0,丁青县,Dingqing Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,31.6,95.08334,542125206.0,247.0,,542125206.0,248.0,na,,Dingqing,G2188,steng chen rdzong,G1KR1179,,,,na,日玛噶桑林寺,,Rimaga sanglinsi,na,Bon,4.846781131,4.847,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,0101000020E6100000B79C4B7155C557409999999999993F40,2387.0,Geluk,,542125206:249,Chazhong deqin raojilinsi,查仲德钦绕吉林寺,བདེ་ཆེན་རབ་རྒྱས་གླིང,bde chen rab rgyas gling,G1KR1179,95.08334,31.6
G75,'on nges gsang dar rgyas gling /,,,sne gdong rdzong /; Nedong County; 乃东县; 'on/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1KG17132,khams rdor brag dgon/,,,sde dge rdzong /; 德格县; Derge County; lhun grub rdzong /; 林周县; Lhundrub county,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1802,果芒寺; Gomang Gon; sgo mang dgon/,32.76,100.8,班玛县; pad+ma rdzong /; Pema county; yar thang zhang /,0101000020E61000003233333333335940E17A14AE47614040,2002.0,2638.0,,吾扎寺,wuzha si,亚尔堂乡,Yaertang xiang,Ya Er Tang Xiang,632622.0,班玛县,Banma Xian,6326.0,Golog Zizhizhou,Qinghai,Qinghai_Lex_20120621,32.76,100.8,632622207.0,385.0,bu rtsa dgon pa,632622207.0,506.0,bu rtsa dgon pa,bu rtsa dgon pa,na,G1719,pad+ma rdzong,G1802,,,,,吾扎寺,,wuzha si,1887,n,11.56136193,11.561,,,,,,,,,,,,,,,,,,,,,,,,,,0101000020E61000003233333333335940E17A14AE47614040,1422.0,Nyingma,1816.0,632622207:507,guomang si,果芒寺,སྒོ་མང་དགོན,sgo mang dgon,G1802,100.8,32.76
G1KR1082,羊寺,30.88333,98.25,贡觉县; Gongjo County; go 'jo rdzong /,0101000020E610000000000000009058405F9335EA21E23E40,2197.0,1080.0,,达登寺,Dadeng si,莫洛乡,Moluo xiang,Mo Luo Xiang,542123.0,贡觉县,Gongjue Xian,5421.0,Qamdo Diqu,Xizang,Kham_Lex_20120621,30.88333,98.25,542123200.0,294.0,,542123200.0,294.0,na,,Gongjue,G2182,go 'jo rdzong,G1KR1082,,,,na,达登寺,,Dadeng si,na,Nyingma,12.70648031,12.706,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,0101000020E610000000000000009058405F9335EA21E23E40,2292.0,Nyingma,,542123200:296,Yang si,羊寺,,,G1KR1082,98.25,30.88333
G511,sba mo chos sdings/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,997.0,G511,,Bamo Choding,sba mo chos sdings,སྦ་མོ་ཆོས་སྡིངས།,, ,Drukpa Kagyu,Monastery,,,,,,,,"<p>
	Bamo Choding was a Drukpa Kagyu monastery in southern Tibet.</p>
",,,,,,,,,,,,,
G1KR2579,仍果俄康; rdzong 'go'i sngags khang /,36.10997,101.28885,khri ka rdzong /; 贵德县,0101000020E6100000C6DCB5847C52594043C5387F130E4240,1978.0,2579.0,,仍果俄康,rengguo ekang,罗汉堂乡,Luohantang xiang,Luo Han Tang Xiang,632523.0,贵德县,Guide Xian,6325.0,Hainan Zizhizhou,Qinghai,Qinghai_Lex_20120621,36.10997,101.28885,632523205.0,613.0,rdzong 'go'i sngags khang,632523205.0,358.0,rdzong 'go'i sngags khang,rdzong 'go'i sngags khang,na,G1715,khri ka rdzong,G1KR2579,,,,,仍果俄康,,rengguo ekang,na,n,12.78499893,12.785,,,,,,,,,,,,,,,,,,,,,,,,,,0101000020E6100000C6DCB5847C52594043C5387F130E4240,1639.0,Nyingma,,632523205:358,rengguo ekang,仍果俄康,རྫོང་འགོའི་སྔགས་ཁང,rdzong 'go'i sngags khang,G1KR2579,101.28885,36.10997
G1KR2638,bu rtsa dgon pa/; 吾扎寺,32.76,100.8,班玛县; pad+ma rdzong /; Pema county,0101000020E61000003233333333335940E17A14AE47614040,2003.0,2639.0,,果芒寺,guomang si,亚尔堂乡,Yaertang xiang,Ya Er Tang Xiang,632622.0,班玛县,Banma Xian,6326.0,Golog Zizhizhou,Qinghai,Qinghai_Lex_20120621,32.76,100.8,632622207.0,323.0,sgo mang dgon pa,632622207.0,507.0,sgo mang dgon pa,,na,G1719,pad+ma rdzong,G1KR2638,,sgo mang dgon ( pad+ma rdzong),,,果芒寺,哇依寺/白玉寺,guomang si,1816,n,11.56136193,11.561,,,,,,,,,,,,,,,,,,,,,,,,,,0101000020E61000003233333333335940E17A14AE47614040,505.0,Nyingma,1887.0,632622207:506,wuzha si,吾扎寺,བུ་རྩ་དགོན་པ,bu rtsa dgon pa,G1KR2638,100.8,32.76
G777,a mo ri mo/,,,spungs thang bde ba can/; punakha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G4492,郎依寺; sna steng dgon/,32.8135,103.64088,zung chu rdzong /; 松潘县; shar khog,0101000020E6100000452A8C2D04E95940E3A59BC420684040,8.0,15.0,,朗依寺 (对河寺）,Lang yi si - Dui he si,水晶乡,Shuijing xiang,Shui Jing Xiang,513224.0,松潘县,Songpan Xian,5132.0,Aba Zizhizhou,Sichuan,Aba_Lex_20120619,32.8135,103.64088,513224216.0,238.0,snang zhig lcags mdud dgon (Dpal gshen bstan snang zhig rnam rgyal kun gragas gling),513224216.0,238.0,snang zhig lcags mdud dgon (Dpal gshen bstan snang zhig rnam rgyal kun gragas gling),,zung chu rdzong,G2333,zung chu rdzong,G4492,,sna steng dgon (zung chu rdzong),,,郎依寺,对河寺,Lang yi si / Dui he si,1378,B,7.569163229,7.569,,,,,,,1368.0,G4492,,Nateng,sna steng dgon,སྣ་སྟེང་དགོན།,郎依寺,", snang zhig lcags mdud bkra shis g.yung drung; snang zhig dgon , ",Bon,Monastery,,,,,,32.8135,103.64088,"<p>
	Nateng is a Bon monastery in Sharkhok, southern Amdo.&nbsp;</p>
",,0101000020E6100000452A8C2D04E95940E3A59BC420684040,1003.0,Bon,1378.0,513224216:238,langyi si,郎依寺,སྣང་ཞིག་དགོན,snang zhig dgon,G4492,103.64088,32.8135
